id,ist_ppn,titel,autor,autor_key,autor_original,jahr,jahr_quelle,reihe,band,band_key,startseite,endseite,abbilder,tafeln,tabellen,figuren,link
094911215,True,De periodis columnarum in serie numerorum progressionis Arithmeticae Dyadice expressorum,"Dangicourt, Pierre",dangicourt-pierre,"Dangicourt, Pierre",1710,csv,01-misc,1,01-misc/1,336,376,,0,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000360
094941548,True,Notitia Coerulei Berolinensis nuper inventi,,,Ohne Angabe Des Verfassers,1710,csv,01-misc,1,01-misc/1,377,378,,0,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000401
094941610,True,Observationes tricennales circa frigus hyemale ex Ephemeridibus V. Cl. Samuelis Keiheri,,,Ohne Angabe Des Verfassers,1710,csv,01-misc,1,01-misc/1,379,384,,0,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000403
094976589,True,Lapis Ilmenaviensis cancri figuram in sinu gerens,"Schmid, Johann Andreas",schmid-johann-andreas,"Schmid, Johann Andreas",1710,csv,01-misc,1,01-misc/1,999,999,mit 1 Tafel,1,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000123
094976481,True,Parulis c. fistula genae feliciter curanda,"Valentini, Michael Bernhard",valentini-michael-bernhard,"Valentini, Michael Bernhard",1710,csv,01-misc,1,01-misc/1,1143,1143,,0,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000167
094915415,True,Observatio Eclipsis Solaris totalis Cizae 12. Maji 1706. coelo summe sereno habita,"Teuber, Grottfried",teuber-grottfried,"Teuber, Grottfried",1710,csv,01-misc,1,01-misc/1,2241,2241,mit 1 Tafel,1,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000265
094943222,True,"Historia observationis Cometae 1702. Ex J. Henr. Hoffmanni, Ephemeridibus Anni 1703. excerpta","Hoffmann, Johann Heinrich",hoffmann-johann-heinrich,"Hoffmann, Johann Heinrich",1710,csv,01-misc,1,01-misc/1,2261,2261,mit 1 Tafel,1,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000285
094934827,True,Methodus facilis obducendi Stanno omnis generis vitra concava et convexa ad usum Catoptricum,"Hartsoeker, Nikolaus",hartsoeker-nikolaus,"Hartsoeker, Nikolaus",1710,csv,01-misc,1,01-misc/1,2262,2262,,0,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000286
094948615,True,Annotatio de arte Noribergensi specula vitrea conficiendi sine foliis,"Leibniz, Gottfried Wilhelm Freiherr von",leibniz-gottfried-wilhelm-freiherr-von,"Leibniz, Gottfried Wilhelm Freiherr von",1710,csv,01-misc,1,01-misc/1,2263,2263,,0,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000287
094949808,True,"Epistola ad Joh. Carol. Schott, de dato Daventriae 14. Jul. A. 1711","Cuper, Gisbert",cuper-gisbert,"Cuper, Gisbert",1723,csv,01-misc,2,01-misc/2,1,8,,0,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/2/tif/&pn=0000012
094909334,True,Reponsum ad G. Cuperi epistolam,"Schott, Johann Karl",schott-johann-karl,"Schott, Johann Karl",1723,csv,01-misc,2,01-misc/2,8,27,mit 1 Tafel,1,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/2/tif/&pn=0000019
094935378,True,"De scripturae oecumenicae, Quam Omnes Gentes, absque notitia Linguarum legant et intelligant, methodo facili et expedita . .. significatio","Solbrig, David",solbrig-david,"Solbrig, David",1723,csv,01-misc,2,01-misc/2,28,39,,0,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/2/tif/&pn=0000039
094936005,True,De Lingua codicis argentei,"Wachter, Johann Georg",wachter-johann-georg,"Wachter, Johann Georg",1723,csv,01-misc,2,01-misc/2,40,47,,0,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/2/tif/&pn=0000051
094959730,True,"Observatio Historica, Qua Woldemarum I. Marchionem Brandenburg ensem gentis Ascaniae ultimum fuisse, Woldemarum vero II. et Johannem IV, qui post illum Marchiae Brandenburgensi ad. annum usque 1322 vel 1324 praefuisse dicuntur, confictos esse probatur","Dithmar, Justus Christoph",dithmar-justus-christoph,"Dithmar, Justus Christoph",1723,csv,01-misc,2,01-misc/2,48,54,,0,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/2/tif/&pn=0000059
094940819,True,"Etymon Nominis Weser, (Visurgis) Fluvii Gennaniae","Frisch, Johann Leonhard",frisch-johann-leonhard,"Frisch, Johann Leonhard",1723,csv,01-misc,2,01-misc/2,54,56,,0,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/2/tif/&pn=0000065
094962553,True,Methodus generalis Puncta Stationum in Orbitis Planetariis determinandi : Continuatio,"Hermann, Jakob",hermann-jakob,"Hermann, Jakob",1723,csv,01-misc,2,01-misc/2,59,65,mit 1 Tafel,1,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/2/tif/&pn=0000070
094898235,True,"Regula, qua inveniuntur omnes divisores cujuscunque producti Algebraïci, dummodo in nullo divisore sit terminus irrationalis seu incommensurabilis","Naude, Philipp der jüngere",naude-philipp-der-jungere,"Naude, Philipp der jüngere",1723,csv,01-misc,2,01-misc/2,66,88,,0,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/2/tif/&pn=0000077
09489633X,True,Problema geometricum,,,Ohne Angabe Des Verfassers,1723,csv,01-misc,2,01-misc/2,89,128,mit 1 Tafel,1,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/2/tif/&pn=0000100
09490894X,True,Mensura Ungulae a Cylindro rescissae demonstrata,"Hertenstein, Johann Heinrich",hertenstein-johann-heinrich,"Hertenstein, Johann Heinrich",1723,csv,01-misc,2,01-misc/2,128,133,mit 1 Tafel,1,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/2/tif/&pn=0000139
094941726,True,"Brevis Disquisitio, De Eclipsi Solis, quae a Sinensibus, anno 7. Quangvuti notata est","Kirch, Christfried",kirch-christfried,"Kirch, Christfried",1723,csv,01-misc,2,01-misc/2,133,139,,0,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/2/tif/&pn=0000144
094896119,True,"Diametri Lunae apparentis, et Phasium ejus Quantitatis Observationes, ope Tubi Micrometro instructi, Berolini saepius factae","Wagner, Johann Wilhelm",wagner-johann-wilhelm,"Wagner, Johann Wilhelm",1723,csv,01-misc,2,01-misc/2,141,147,,0,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/2/tif/&pn=0000152
