Startseite,Endseite,Abbilder,ID,Titel,Autor,Jahr,Link,Schriftenreihe,Band,Textbeziehungen
92,101,,094957355,Versuche über die Methode den Zink aus seiner wahren Miner dem Gallmeysteine hervorzubringen,"Marggraf, Andreas Sigismund",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000102,04-phys,3,
102,109,,094946388,Versuch das Silber auf eine leichte Art in den Pflanzensäuren aufzulösen,"Marggraf, Andreas Sigismund",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000112,04-phys,3,
109,136,,094971269,"Chemische Untersuchung eines sehr merkwürdigen Urinsalzes, welches die Säure des Phosphorus in sich enthält","Marggraf, Andreas Sigismund",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000119,04-phys,3,
136,143,,094965323,Anatomische Erklärung des Ursprungs und der Bildung der Ueberbeine,"Eller, Johann Theodor",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000146,04-phys,3,
143,164,,094967741,Chemische Untersuchung des Talkes,"Pott, Johann Heinrich",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000153,04-phys,3,
164,170,,094971277,"Auszug aus des Herrn D. Lerch meteorologischen Beobachtungen zu Astracan im Winter 1745 bis 1746, und im Sommer 1746","Lerche, Johann Jakob",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000174,04-phys,3,
170,177,,094927898,Meteorologische Beobachtungen des Jahrs 1745 zu Tübingen,"Krafft, Georg Wolfgang",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000180,04-phys,3,
178,199,,094971293,"Physikalische Untersuchung des Schwanzes der Kometen, des Nordlichtes und des Zodiakallichtes","Euler, Leonhard",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000188,04-phys,3,
200,237,,094908788,"Physikalischchemische Abhandlung von der Scheidung des Goldes vom Silber durch die Präzipitation, die man die trockene Scheidung nennet","Eller, Johann Theodor",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000210,04-phys,3,
238,252,,094904324,Chemische Versuche aus verschiedenen einheimischen Pflanzen einen wahren Zucker zu verfertigen,"Marggraf, Andreas Sigismund",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000248,04-phys,3,
252,268,,094916403,"Von der Methode das Zinn in den Pflanzensäuren aufzulösen, von dem Arsenic, der dem Zinne beygemischt ist, und von den hieher gehörigen Versuchen","Marggraf, Andreas Sigismund",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000262,04-phys,3,
268,281,,094967512,Pyrotechnische Versuche mit dem Sächsischen Topase,"Pott, Johann Heinrich",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000278,04-phys,3,
281,310,,094971307,"Pyrotechnische Untersuchung des Steines, der von den Alten Steatites, und von den Deutschen Speckstein genennet wird","Pott, Johann Heinrich",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000291,04-phys,3,
310,314,,094938385,Von den Mitteln den Bau der Eingeweide kennen zu lernen,"Lieberkühn, Johann Nathanael",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000320,04-phys,3,
315,330,,094975779,Untersuchung der Natur und Eigenschaften der Glasgalle,"Pott, Johann Heinrich",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000325,04-phys,3,
331,358,,094960151,Untersuchung des wahren Beinbruchs oder Osteocolla der Mark Brandenburg,"Gleditsch, Johann Gottlieb",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000341,04-phys,3,
359,367,,094938407,Chemische Versuche mit dem in der Mark befindlichen Beinbruch,"Marggraf, Andreas Sigismund",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000369,04-phys,3,
368,384,,094963908,Über die Bildung der Körper überhaupt,"Eller, Johann Theodor",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000378,04-phys,3,
384,392,,094947198,Von dem Nutzen der durchsichtigen Körper des Michelius in den blättrigen Schwämmen (champignons),"Gleditsch, Johann Gottlieb",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000394,04-phys,3,
393,409,,094952647,Untersuchung der Fruchtbarkeit der Erde überhaupt,"Eller, Johann Theodor",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000403,04-phys,3,
409,417,,094946620,Erfahrungen und Versuche zur nähern Erläuterung der Erzeugung der Schwämme (champignons),"Gleditsch, Johann Gottlieb",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000419,04-phys,3,
418,430,,094903344,Nachricht von einem sonderbaren Schwarme von Ameisen der einem Nordlichte ähnlich war,"Gleditsch, Johann Gottlieb",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000428,04-phys,3,
430,443,,09492578X,"Neue Methode das Silber durch die Kochsalzsäure höchst fein zu machen, oder es aus dem Hornsilber ohne Verlust zu reduciren","Marggraf, Andreas Sigismund",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000440,04-phys,3,
444,452,,094903220,"Beobachtungen des in den Ameisen befindlichen ausgepreßten Oeles, und einige Versuche mit der Säure eben dieser Insecten","Marggraf, Andreas Sigismund",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000454,04-phys,3,
453,469,,094928037,"Von den Steinen, die mit Kohlen stratificirt, und kalcinirt, die Eigenschaft erlangen, daß sie im dunkeln leuchten, wenn sie einige Zeit von dem Tageslichte beschienen sind","Marggraf, Andreas Sigismund",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000463,04-phys,3,
470,498,,094946671,"System der Pflanzen, das sich auf die Lage und Verbindung der Staubfäden gründet","Gleditsch, Johann Gottlieb",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000480,04-phys,3,
499,504,,094929718,"Beschreibung einer Barometerscale, die bloß den wahren Druck der Luft anzeigt","Ludolff, Christian Friedrich",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000509,04-phys,3,
504,510,,094944571,"Von einer künstlichen Befruchtung eines Palmbaumes, den man Palma dactilifera folio flabelliformi nennet","Gleditsch, Johann Gottlieb",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000514,04-phys,3,
511,526,,094966915,Von der Kunst die geöffneten Eyer auszubrüten,"Beguelin, Nikolaus von",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000521,04-phys,3,
527,547,,094947953,"Anatomische Beobachtung eines neuen Knoten oder ganglium des zweyten Astes des fünften Paares der Nerven des Gehirns, und physiologische Untersuchung des wahren Nutzens der Knoten der Nerven","Meckel, Johann Friedrich",1783,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/3/tif/&pn=0000537,04-phys,3,
